Add customer 2019-05-05 17:44:06.36
Log In 2019-05-05 17:47:12.327
Log In 2019-05-05 18:10:03.427
Add customer 2019-05-05 18:10:36.693
Log In 2019-05-06 18:49:34.836
Add order 2019-05-06 18:49:47.131
Add order 2019-05-06 18:50:07.259
List my orders 2019-05-06 18:50:35.034
Log In 2019-05-06 18:52:00.73
List my orders 2019-05-06 18:52:05.993
Log In 2019-05-06 18:54:38.273
List my orders 2019-05-06 18:54:44.695
List my invoices 2019-05-06 18:54:51.943
Log In 2019-05-06 18:58:54.354
List my orders 2019-05-06 18:58:58.483
List my invoices 2019-05-06 18:59:00.307
Log In 2019-05-06 19:00:30.961
List my orders 2019-05-06 19:00:37.082
List my invoices 2019-05-06 19:01:00.706
List order by id 2019-05-06 19:01:05.818
List proteins by concentration 2019-05-07 08:06:18.083
Log In 2019-05-07 08:06:24.544
Show proteins 2019-05-07 08:06:38.645
List my orders 2019-05-07 08:06:52.535
Log In 2019-05-07 08:07:58.593
List my orders 2019-05-07 08:08:05.073
Add customer 2019-05-09 10:55:27.305
Log In 2019-05-09 11:03:04.737
Add order 2019-05-09 11:03:11.52
Show proteins 2019-05-09 11:25:40.993
Show vitamins 2019-05-09 11:33:36.165
Get vitamins by a specific pattern 2019-05-09 11:33:51.349
Get vitamins by a specific pattern 2019-05-09 11:37:24.142
Get vitamins by a specific pattern 2019-05-09 11:37:33.652
Get vitamins by a specific pattern 2019-05-09 11:37:39.052
Get vitamins by a specific pattern 2019-05-09 11:37:44.926
Get vitamins by a specific pattern 2019-05-09 11:37:51.486
Log In 2019-05-09 11:39:50.366
Log In 2019-05-09 11:40:50.573
Log In 2019-05-09 11:41:06.526
Log In 2019-05-15 11:41:19.361
Log In 2019-05-15 11:41:31.534
Add customer 2019-05-15 11:41:33.684
Add customer 2019-05-15 11:41:41.847
Add customer 2019-05-17 14:57:06.392
Log In 2019-05-17 15:02:36.632
Add customer 2019-05-17 15:02:45.48
Add customer 2019-05-17 15:03:30.637
Add customer 2019-05-17 15:03:52.852
